period,power
0.25826091193731343,0.27213060803772327
0.27361790491315957,0.35384727653439635
0.28988807221140345,0.45556720723723176
0.3071257140029443,0.5763692180026249
0.3253883593148673,0.7064153003202535
0.3447369580282236,0.8229926844063294
0.36523608429259224,0.8967399358734949
0.3869541520363021,0.9125881997254709
0.4099636432915578,0.8947987821422261
0.43434135009648417,0.9107945737981027
0.4601686307814152,1.0372653836773544
0.48753168149475806,1.307304678519469
0.5165218238746269,1.682527787808864
0.5472358098263191,2.0780773228407416
0.5797761444228068,2.425779964265046
0.6142514280058886,2.7227339137134856
0.6507767186297346,3.0147024130178943
0.689473916056447,3.3300654980336413
0.7304721685851845,3.646978883611903
0.7739083040726042,3.940544951623182
0.8199272865831156,4.249821292626526
0.8686827001929683,4.669415659670318
0.9203372615628304,5.250491050096339
0.9750633629895161,5.893580518895669
1.0330436477492537,6.340048437322872
1.094471619652638,6.302297372426246
1.1595522888456136,5.651872106368024
1.2285028560117772,4.51228725640025
1.301553437259469,3.1831105091254823
1.378947832112894,1.97701339167311
1.460944337170369,1.0928533678681653
1.5478166081452085,0.5811099416882833
1.6398545731662313,0.3797942219719672
1.7373654003859367,0.3628505450852369
1.8406745231256607,0.39284582317717404
1.9501267259790322,0.3882075990042229
2.0660872954985074,0.3491179523041386
