date,total,reporting_area
2006-01-31,49.0,US
2006-02-28,56.0,US
2006-03-31,74.0,US
2006-04-30,71.0,US
2006-05-31,46.0,US
2006-06-30,43.0,US
2006-07-31,41.0,US
2006-08-31,30.0,US
2006-09-30,32.0,US
2006-10-31,34.0,US
2006-11-30,55.0,US
2006-12-31,52.0,US
2007-01-31,36.0,US
2007-02-28,49.0,US
2007-03-31,58.0,US
2007-04-30,69.0,US
2007-05-31,41.0,US
2007-06-30,37.0,US
2007-07-31,44.0,US
2007-08-31,40.0,US
2007-09-30,39.0,US
2007-10-31,34.0,US
2007-11-30,30.0,US
2007-12-31,35.0,US
2008-01-31,0.0,US
2008-02-29,47.0,US
2008-03-31,101.0,US
2008-04-30,40.0,US
2008-05-31,48.0,US
2008-06-30,52.0,US
2008-07-31,38.0,US
2008-08-31,30.0,US
2008-09-30,33.0,US
2008-10-31,20.0,US
2008-11-30,40.0,US
2008-12-31,24.0,US
2009-01-31,28.0,US
2009-02-28,39.0,US
2009-03-31,67.0,US
2009-04-30,38.0,US
2009-05-31,49.0,US
2009-06-30,24.0,US
2009-07-31,46.0,US
2009-08-31,33.0,US
2009-09-30,25.0,US
2009-10-31,23.0,US
2009-11-30,58.0,US
2009-12-31,54.0,US
2010-01-31,33.0,US
2010-02-28,31.0,US
2010-03-31,55.0,US
2010-04-30,28.0,US
2010-05-31,44.0,US
2010-06-30,26.0,US
2010-07-31,21.0,US
2010-08-31,29.0,US
2010-09-30,23.0,US
2010-10-31,38.0,US
2010-11-30,33.0,US
2010-12-31,25.0,US
2011-01-31,44.0,US
2011-02-28,39.0,US
2011-03-31,28.0,US
2011-04-30,43.0,US
2011-05-31,33.0,US
2011-06-30,29.0,US
2011-07-31,31.0,US
2011-08-31,7.0,US
2011-09-30,12.0,US
2011-10-31,20.0,US
2011-11-30,15.0,US
2011-12-31,23.0,US
2012-01-31,23.0,US
2012-02-29,22.0,US
2012-03-31,27.0,US
2012-04-30,23.0,US
2012-05-31,23.0,US
2012-06-30,19.0,US
2012-07-31,18.0,US
2012-08-31,12.0,US
2012-09-30,13.0,US
2012-10-31,10.0,US
2012-11-30,14.0,US
2012-12-31,23.0,US
2013-01-31,25.0,US
2013-02-28,25.0,US
2013-03-31,33.0,US
2013-04-30,29.0,US
2013-05-31,15.0,US
2013-06-30,10.0,US
2013-07-31,14.0,US
2013-08-31,13.0,US
2013-09-30,17.0,US
2013-10-31,11.0,US
2013-11-30,25.0,US
2013-12-31,21.0,US
2014-01-31,18.0,US
2014-02-28,24.0,US
2014-03-31,21.0,US
2014-04-30,16.0,US
2014-05-31,15.0,US
2014-06-30,18.0,US
2014-07-31,6.0,US
2014-08-31,14.0,US
2014-09-30,12.0,US
2014-10-31,12.0,US
2014-11-30,16.0,US
2014-12-31,13.0,US
2015-01-31,11.0,US
2015-02-28,11.0,US
2015-03-31,26.0,US
2015-04-30,18.0,US
2015-05-31,13.0,US
2015-06-30,10.0,US
2015-07-31,9.0,US
2015-08-31,8.0,US
2015-09-30,10.0,US
2015-10-31,11.0,US
2015-11-30,15.0,US
2015-12-31,7.0,US
2016-01-31,13.0,US
2016-02-29,9.0,US
2016-03-31,18.0,US
2016-04-30,12.0,US
2016-05-31,17.0,US
2016-06-30,13.0,US
2016-07-31,12.0,US
2016-08-31,12.0,US
2016-09-30,5.0,US
2016-10-31,9.0,US
2016-11-30,8.0,US
2016-12-31,12.0,US
2017-01-31,23.0,US
2017-02-28,13.0,US
2017-03-31,17.0,US
2017-04-30,12.0,US
2017-05-31,13.0,US
2017-06-30,7.0,US
2017-07-31,10.0,US
2017-08-31,6.0,US
2017-09-30,7.0,US
2017-10-31,18.0,US
2017-11-30,11.0,US
2017-12-31,12.0,US
2018-01-31,17.0,US
2018-02-28,11.0,US
2018-03-31,13.0,US
2018-04-30,16.0,US
2018-05-31,16.0,US
2018-06-30,10.0,US
2018-07-31,7.0,US
2018-08-31,7.0,US
2018-09-30,6.0,US
2018-10-31,6.0,US
2018-11-30,7.0,US
2018-12-31,8.0,US
2019-01-31,10.0,US
2019-02-28,8.0,US
2019-03-31,19.0,US
2019-04-30,11.0,US
2019-05-31,9.0,US
2019-06-30,12.0,US
2019-07-31,9.0,US
2019-08-31,9.0,US
2019-09-30,10.0,US
2019-10-31,0.0,US
2019-11-30,6.0,US
2019-12-31,13.0,US
2020-01-31,13.0,US
2020-02-29,13.0,US
2020-03-31,13.0,US
2020-04-30,4.0,US
2020-05-31,11.0,US
2020-06-30,2.0,US
2020-07-31,5.0,US
2020-08-31,0.0,US
2020-09-30,1.0,US
2020-10-31,5.0,US
2020-11-30,2.0,US
2020-12-31,1.0,US
2021-01-31,8.0,US
2021-02-28,5.0,US
2021-03-31,5.0,US
2021-04-30,5.0,US
2021-05-31,7.0,US
2021-06-30,7.0,US
2021-07-31,4.0,US
2021-08-31,4.0,US
2021-09-30,12.0,US
2021-10-31,10.0,US
2021-11-30,7.0,US
2021-12-31,4.0,US
2022-01-31,8.0,US
2022-02-28,5.0,US
2022-03-31,5.0,US
2022-04-30,5.0,US
2022-05-31,7.0,US
2022-06-30,7.0,US
2022-07-31,5.0,US
2022-08-31,3.0,US
2022-09-30,12.0,US
2022-10-31,0.0,US
